# gen	hv_mean	hv_std	hv_min	hv_max
37	5.9839759956e+00	1.4858726173e-01	5.7843629071e+00	6.2214151137e+00
38	5.9890628969e+00	1.4569657859e-01	5.7830101136e+00	6.2190200879e+00
39	5.9935266232e+00	1.4115001451e-01	5.7813825917e+00	6.2004021218e+00
40	5.9988780722e+00	1.4391935417e-01	5.7860223796e+00	6.2074731256e+00
41	6.0025669639e+00	1.4387278340e-01	5.7940322776e+00	6.2097277323e+00
42	6.0057117716e+00	1.4384960749e-01	5.7934408748e+00	6.2254150346e+00
43	6.0090983959e+00	1.4448487098e-01	5.7960838941e+00	6.2243486084e+00
44	6.0038071433e+00	1.2505423365e-01	5.8026816092e+00	6.2245081131e+00
45	6.0087486718e+00	1.2564356275e-01	5.8024783121e+00	6.2213587811e+00
46	6.0102424266e+00	1.2687405304e-01	5.8027386860e+00	6.2230293925e+00
47	6.0113011885e+00	1.2635592075e-01	5.8068930169e+00	6.2233997380e+00
48	6.0135570514e+00	1.2407599712e-01	5.8050523687e+00	6.2091132564e+00
49	6.0160513344e+00	1.2634881328e-01	5.8024818562e+00	6.2192831145e+00
50	6.0168353437e+00	1.2665738806e-01	5.8033079438e+00	6.2183826062e+00
51	6.0178354566e+00	1.2518772600e-01	5.8053161772e+00	6.2129560895e+00
52	6.0208150874e+00	1.2646712187e-01	5.8045186421e+00	6.2162772168e+00
53	6.0219661203e+00	1.2735295260e-01	5.8059120829e+00	6.2188460676e+00
54	6.0220418511e+00	1.2617767505e-01	5.8060506964e+00	6.2167000605e+00
55	6.0254879341e+00	1.2914338979e-01	5.8052663651e+00	6.2254322869e+00
56	6.0266321634e+00	1.3081096730e-01	5.8057333290e+00	6.2273926099e+00
57	6.0266163691e+00	1.3025502368e-01	5.8068158330e+00	6.2278522213e+00
58	6.0284307900e+00	1.2964514898e-01	5.8072167121e+00	6.2294225567e+00
59	6.0288621854e+00	1.2960415817e-01	5.8076598237e+00	6.2287859230e+00
60	6.0238284608e+00	1.3157981539e-01	5.8071501075e+00	6.2265353290e+00
61	6.0232172107e+00	1.3182435909e-01	5.8173155898e+00	6.2288920315e+00
62	6.0261511765e+00	1.3095480728e-01	5.8245369781e+00	6.2308737673e+00
63	6.0251849570e+00	1.3027893460e-01	5.8244061658e+00	6.2300193470e+00
64	6.0244147328e+00	1.2536079482e-01	5.8392701285e+00	6.2216233527e+00
65	6.0266506837e+00	1.2660807843e-01	5.8445453713e+00	6.2232673906e+00
66	6.0320507982e+00	1.2056532158e-01	5.8757179524e+00	6.2300312386e+00
67	6.0323415936e+00	1.2147199902e-01	5.8750232232e+00	6.2350127772e+00
68	6.0336284261e+00	1.2015752340e-01	5.8760740796e+00	6.2346603457e+00
69	6.0323788749e+00	1.1913858065e-01	5.8759836960e+00	6.2340087690e+00
70	6.0304887516e+00	1.1794580175e-01	5.8753189455e+00	6.2282785083e+00
71	6.0310214403e+00	1.1856730030e-01	5.8759423510e+00	6.2310365580e+00
72	6.0316052349e+00	1.1868431597e-01	5.8753121355e+00	6.2297500867e+00
73	6.0309219353e+00	1.1741863562e-01	5.8753462113e+00	6.2298219407e+00
74	6.0299003476e+00	1.1794507191e-01	5.8758324487e+00	6.2348720084e+00
75	6.0308463644e+00	1.1905550029e-01	5.8752957588e+00	6.2358125631e+00
76	6.0279131024e+00	1.1883559398e-01	5.8753903086e+00	6.2314934807e+00
77	6.0292926126e+00	1.1710212299e-01	5.8858173476e+00	6.2283348881e+00
78	6.0298877677e+00	1.1610307027e-01	5.8845421388e+00	6.2279230466e+00
79	6.0294432027e+00	1.1497802415e-01	5.8845689447e+00	6.2253821646e+00
80	6.0311566515e+00	1.1523036706e-01	5.8840624786e+00	6.2278460394e+00
81	6.0321689558e+00	1.1694796687e-01	5.8847233149e+00	6.2345734676e+00
82	6.0319379355e+00	1.1740091396e-01	5.8847385463e+00	6.2332241387e+00
83	6.0324059091e+00	1.1694703460e-01	5.8852744576e+00	6.2325082601e+00
84	6.0323901222e+00	1.1709903107e-01	5.8840074105e+00	6.2395026188e+00
85	6.0320510209e+00	1.1656523279e-01	5.8837752101e+00	6.2387918716e+00
86	6.0304634226e+00	1.1594145092e-01	5.8842239120e+00	6.2385588880e+00
87	6.0300951694e+00	1.1679793445e-01	5.8842224668e+00	6.2358144481e+00
88	6.0278939918e+00	1.1488974600e-01	5.8835820185e+00	6.2251888965e+00
89	6.0282666467e+00	1.1400046170e-01	5.8840171460e+00	6.2225816114e+00
90	6.0278283042e+00	1.1415725856e-01	5.8836263578e+00	6.2227086411e+00
91	6.0265665684e+00	1.1510666955e-01	5.8836126067e+00	6.2257236278e+00
92	6.0260204876e+00	1.1426522660e-01	5.8836411116e+00	6.2241169309e+00
93	6.0216905626e+00	1.0817471675e-01	5.8841814718e+00	6.2253525537e+00
94	6.0221196281e+00	1.0903297173e-01	5.8839007629e+00	6.2298746944e+00
95	6.0216021307e+00	1.0812726140e-01	5.8824617558e+00	6.2259347718e+00
96	6.0208856404e+00	1.0716582579e-01	5.8825613853e+00	6.2226058204e+00
97	6.0195901121e+00	1.0700139642e-01	5.8825427045e+00	6.2247174973e+00
98	6.0195270094e+00	1.0974203334e-01	5.8725980899e+00	6.2268643943e+00
99	6.0198147907e+00	1.1109501983e-01	5.8728452742e+00	6.2296466041e+00
