# MOEAD_V6 - Hipervolumen promedio por generación
# gen	hv_mean	hv_std	hv_min	hv_max
90	6.2513267271e+00	1.3521069170e-01	5.9323094454e+00	6.3896428612e+00
91	6.2513380777e+00	1.3514033536e-01	5.9322853642e+00	6.3890630647e+00
92	6.2518597205e+00	1.3550713205e-01	5.9323297488e+00	6.3887891803e+00
93	6.2520328828e+00	1.3562809063e-01	5.9323390692e+00	6.3892001998e+00
94	6.2520041073e+00	1.3557611650e-01	5.9323303776e+00	6.3879281698e+00
95	6.2521342729e+00	1.3572046816e-01	5.9322970787e+00	6.3891299850e+00
96	6.2522554873e+00	1.3564156977e-01	5.9323878670e+00	6.3892256130e+00
97	6.2526109131e+00	1.3554962679e-01	5.9323684582e+00	6.3896065900e+00
98	6.2524365728e+00	1.3615636715e-01	5.9323684638e+00	6.3894640992e+00
99	6.2524378002e+00	1.3609980658e-01	5.9323684348e+00	6.3895373363e+00
100	6.2524846300e+00	1.3601600569e-01	5.9325739108e+00	6.3888519067e+00
