# NSGA2 - Hipervolumen promedio por generación
# gen	hv_mean	hv_std	hv_min	hv_max
38	5.5144239050e+00	7.8680203375e-02	5.4039700927e+00	5.6716859017e+00
39	5.5419702033e+00	8.3508087131e-02	5.4378489368e+00	5.7073369578e+00
40	5.5606274526e+00	7.8676472326e-02	5.4656766812e+00	5.7165506461e+00
41	5.5831812376e+00	7.7702234735e-02	5.4877555005e+00	5.7352541570e+00
42	5.5984753132e+00	8.2549007445e-02	5.5009794401e+00	5.7538720684e+00
43	5.6222880015e+00	7.8095818778e-02	5.5353096086e+00	5.7769784643e+00
44	5.6399056514e+00	7.3233165885e-02	5.5600109077e+00	5.7880529249e+00
45	5.6569470050e+00	6.9825743504e-02	5.5803207377e+00	5.7999581045e+00
46	5.6739005368e+00	6.8886386761e-02	5.5967373099e+00	5.8074021321e+00
47	5.6946375033e+00	6.5614884974e-02	5.6220704738e+00	5.8214116718e+00
48	5.7142319919e+00	6.6931900739e-02	5.6579448250e+00	5.8370927450e+00
49	5.7334054938e+00	6.7383781797e-02	5.6714485015e+00	5.8535813696e+00
50	5.7475431591e+00	7.0507494300e-02	5.6839831722e+00	5.8610610433e+00
51	5.7689136105e+00	7.1541759327e-02	5.6990852512e+00	5.8878189236e+00
52	5.7892720356e+00	7.0633826207e-02	5.7111882783e+00	5.9047516387e+00
53	5.8033214936e+00	6.8490011813e-02	5.7259368179e+00	5.9113278658e+00
54	5.8256149726e+00	6.5434000650e-02	5.7553969683e+00	5.9308563955e+00
55	5.8364045766e+00	6.5950028178e-02	5.7600719360e+00	5.9374415497e+00
56	5.8493435726e+00	6.8270392506e-02	5.7681690802e+00	5.9545862047e+00
57	5.8659850193e+00	6.7922442297e-02	5.7883406316e+00	5.9704558922e+00
58	5.8774482757e+00	7.0179203117e-02	5.7978181866e+00	5.9832291263e+00
59	5.8905808996e+00	7.1876258683e-02	5.8096747352e+00	5.9962478351e+00
60	5.9016388717e+00	7.0772244605e-02	5.8182833815e+00	6.0021752517e+00
61	5.9148929877e+00	7.2894465045e-02	5.8335757604e+00	6.0130076411e+00
62	5.9298008291e+00	7.2517213446e-02	5.8473886783e+00	6.0286532912e+00
63	5.9435419148e+00	7.2142586451e-02	5.8511506013e+00	6.0361176365e+00
64	5.9510440338e+00	6.9974888585e-02	5.8596040076e+00	6.0425927498e+00
65	5.9662075895e+00	7.0850488264e-02	5.8753888275e+00	6.0604226672e+00
66	5.9745234690e+00	7.1460268088e-02	5.8789912083e+00	6.0639397077e+00
67	5.9851671298e+00	7.0728478524e-02	5.8968517742e+00	6.0706371880e+00
68	5.9948297614e+00	7.2503530416e-02	5.9026172129e+00	6.0821623012e+00
69	6.0070702841e+00	6.9045908245e-02	5.9211889670e+00	6.0837183679e+00
70	6.0193198813e+00	6.9152458660e-02	5.9289084985e+00	6.1044527212e+00
71	6.0285470783e+00	6.7021073284e-02	5.9347967137e+00	6.1121214423e+00
72	6.0370456554e+00	6.3458283115e-02	5.9381701010e+00	6.1155227301e+00
73	6.0494363386e+00	6.2108360392e-02	5.9590146245e+00	6.1216239309e+00
74	6.0614104450e+00	5.5642592933e-02	5.9847084797e+00	6.1288985561e+00
75	6.0716967041e+00	5.5907943880e-02	5.9936138633e+00	6.1360423320e+00
76	6.0804512521e+00	5.5004701854e-02	6.0067351875e+00	6.1493226089e+00
77	6.0870097984e+00	5.2690610160e-02	6.0130229212e+00	6.1519985265e+00
78	6.0942839925e+00	5.0195990867e-02	6.0272077618e+00	6.1594958594e+00
79	6.1060397239e+00	4.8552448646e-02	6.0309055062e+00	6.1670021062e+00
80	6.1120814819e+00	4.9378391630e-02	6.0357034396e+00	6.1728510488e+00
81	6.1193035582e+00	4.7990445001e-02	6.0406340112e+00	6.1748073180e+00
82	6.1288045020e+00	4.9107194782e-02	6.0469826872e+00	6.1851556082e+00
83	6.1369188713e+00	4.9770174303e-02	6.0497837513e+00	6.1870551756e+00
84	6.1451443030e+00	4.8581979573e-02	6.0587414603e+00	6.1950651124e+00
85	6.1500111868e+00	4.7057478017e-02	6.0701154987e+00	6.1968859595e+00
86	6.1556483412e+00	4.5828388021e-02	6.0837214402e+00	6.1993561838e+00
87	6.1629281848e+00	4.1796176299e-02	6.0922077195e+00	6.2031060400e+00
88	6.1684520841e+00	4.1433012496e-02	6.1034507471e+00	6.2152348878e+00
89	6.1743364532e+00	3.8813410132e-02	6.1133097666e+00	6.2177765746e+00
90	6.1799204963e+00	3.8786777045e-02	6.1181699839e+00	6.2223442826e+00
91	6.1850508835e+00	3.7157132596e-02	6.1249934529e+00	6.2259087956e+00
92	6.1911562009e+00	3.6335712988e-02	6.1311322284e+00	6.2284635432e+00
93	6.1987800343e+00	3.5465459873e-02	6.1457896963e+00	6.2410975141e+00
94	6.2049831641e+00	3.4057375373e-02	6.1569138156e+00	6.2427099280e+00
95	6.2094613942e+00	3.1751484265e-02	6.1651985426e+00	6.2450090589e+00
96	6.2169456650e+00	3.1039491200e-02	6.1753507960e+00	6.2564595304e+00
97	6.2191718222e+00	3.1428597345e-02	6.1762203507e+00	6.2581443541e+00
98	6.2253774970e+00	3.1857031761e-02	6.1791035611e+00	6.2688627001e+00
99	6.2295016371e+00	3.2356706867e-02	6.1811664991e+00	6.2731868838e+00
100	6.2335891359e+00	3.2217555594e-02	6.1825700122e+00	6.2758364139e+00
